rank,docstoc_upload_count,template_family,example_original_slug
1,198,employment agreement,EMPLOYMENT-AGREEMENT
2,194,executive summary,Executive-Summary
3,171,power of attorney,Power-------of-Attorney-Example
4,162,press release,Press-Release-Template
5,157,cover letter,Cover-Letter
6,150,business plan,Business-Plan
7,129,for immediate release,FOR-IMMEDIATE-RELEASE
8,113,resume,Resume-Template
9,106,letter of intent,sample_letter_of_intent
10,106,annual report,2007-Annual-Report
11,95,project proposal,project_proposal
12,89,application form,Application-Form
13,88,news release,NEWS-RELEASE
14,83,marketing plan,Marketing-plan-template-1
15,83,request for proposal,REQUEST-FOR-PROPOSAL
16,81,credit agreement,Credit-Agreement---LAS-VEGAS-SANDS-CORP---11-9-2011
17,80,memorandum of understanding,Memorandum-of-Understanding-Template-2012
18,59,employee handbook,employee-handbook-2008
19,58,application for employment,APPLICATION-FOR-EMPLOYMENT
20,57,promissory note,Sample-Promissory-Note
21,56,privacy policy,Sample-privacy-policy
22,56,invoice,invoice_template
23,56,job application form,Sample-Job-Application-Form
24,55,registration form,REGISTRATION_FORM
25,54,confidentiality agreement,Confidentiality-Agreement
26,49,partnership agreement,Partnership-Agreement
27,49,rental agreement,Rental-Agreement
28,49,sales letter,SALES-LETTER
29,48,consulting agreement,consulting-agreement
30,45,lease agreement,LEASE-AGREEMENT
31,44,non disclosure agreement,Non-Disclosure-Agreement
32,43,thank you letter,Thank-you-Letter
33,41,loan agreement,Sample-Loan-Agreement
34,40,deferred compensation plan,Deferred-Compensation-Plan---ADVANCE-AUTO-PARTS-INC---2-25-2013
35,39,mission statement,MISSION-STATEMENT
36,39,request for proposals,REQUEST-FOR-PROPOSALS---DOC-5
37,39,asset purchase agreement,Sample---Asset-Purchase-Agreement
38,38,job application,JOB-APPLICATION
39,38,research proposal,Research-Proposal_3_
40,38,resignation letter,Resignation-Letter
41,37,statement of purpose,Statement-of-purpose-sample
42,37,purchase order,Purchase-Order
43,37,stock purchase agreement,Stock-Purchase-Agreement---AMERICAN-CAPITAL-MORTGAGE-INVESTMENT----11-14-2011
44,37,independent contractor agreement,Independent-Contractor-Agreement
45,36,order form,order-form
46,36,letter of invitation,Letter-of-invitation
47,36,supplemental executive retirement plan,Supplemental-Executive-Retirement-Plan---CONVERGYS-CORP---2-23-2012
48,36,executive employment agreement,Executive-Employment-Agreement---M-&-F-WORLDWIDE-CORP---3-27-2000
49,35,material change report,Material-Change-Report---CARDERO-RESOURCE----2-2-2012
50,35,change in control agreement,Change-In-Control-Agreement---CVS-CAREMARK-CORP---2-17-2012
51,34,professional resume,Professional-Resume
52,33,autocad manual tutorial (),Autocad-2007-manual-tutorial-(2)
53,33,purchase and sale agreement,Purchase-and-Sale-Agreement
54,33,bylaws,SAMPLE-BYLAWS
55,33,stock option plan,Stock-Option-Plan---AUTONATION-INC---3-31-1999
56,32,invitation letter,Invitation-Letter
57,32,project plan,PROJECT-PLAN
58,32,strategic plan,Strategic-Plan
59,32,stock option agreement,Stock-Option-Agreement
60,32,irs individual forms form,2004-IRS-Individual-Forms-Form-1045
61,31,appointment letter,SAMPLE-APPOINTMENT-LETTER
62,31,meeting minutes,Meeting-Minutes
63,30,articles of incorporation,Articles_of_Incorporation
64,30,employment application,Employment-Application
65,30,sponsorship proposal,Sponsorship-Proposal
66,29,request for quotation,Request-for-Quotation
67,29,joint venture agreement,Joint-Venture-Agreement-template
68,29,contract,sample-contract
69,29,purchase agreement,PURCHASE-AGREEMENT
70,28,scarlet letter,The-Scarlet-Letter---DOC-2
71,28,license agreement,License-Agreement---AMERICAN-CAPITAL-MORTGAGE-INVESTMENT----11-14-2011
72,27,action plan,Sample_Action_plan
73,27,fax cover sheet,Fax-cover-sheet-sample
74,27,project report,Project_Report
75,27,business plan for a startup business,Business-Plan-for-a-Startup-Business
76,27,irs business forms form,2004-IRS-Business-Forms-Form-940
77,26,business proposal,Free-Business-Proposal-Template
78,26,rental application,RENTAL-APPLICATION
79,25,instructions for form,Instructions-for-Form-8918
80,25,certificate of completion,Certificate-of-Completion
81,25,terms of reference,Terms-of-Reference
82,25,stock incentive plan,2010-Stock-Incentive-Plan---WARREN-RESOURCES-INC---11-7-2012
83,24,grant proposal,grant_proposal
84,24,statement of work,STATEMENT-OF-WORK
85,24,certificate of incorporation,Certificate-of-Incorporation
86,24,sponsorship letter,Sample-Sponsorship-Letter
87,23,project status report,project-status-report-sample
88,23,training manual,TRAINING-MANUAL
89,23,registration rights agreement,Registration-Rights-Agreement---AMERICAN-CAPITAL-MORTGAGE-INVESTMENT----11-14-2011
90,23,letter of recommendation,Sample-Letter-of-Recommendation-1
91,23,proposal kegiatan,PROPOSAL-KEGIATAN
92,23,letter of agreement,Sample-Letter-of-Agreement
93,23,meeting agenda,Meeting-Agenda
94,23,professional memo,Professional-Memo
95,23,"arizona water supply outlook report as of april ,","ARIZONA-Water-Supply-Outlook-Report-as-of-April-1,-1995"
96,23,mobile application development,Mobile-Application-Development
